Measure	Table	Category	Dashboard_Type	KPI_Type	Visualization_Suggestion
Задачи	!Меры	General	Standard Dashboard	Metric	Card
перекупы	!Меры	General	Standard Dashboard	Metric	Card
Валовая KPI	!Меры	General	Standard Dashboard	Metric	Card
Разница	!Меры	General	Standard Dashboard	Metric	Card
Последнее обновление	!Меры	General	Standard Dashboard	Metric	Card
количество_комуникаций	!Меры	General	Standard Dashboard	Count KPI	Card + Bar Chart
Последняя дата комуникации	!Меры	General	Standard Dashboard	Metric	Card
кол-во дней без комуник	!Меры	General	Standard Dashboard	Count KPI	Card + Bar Chart
кол-во комун_25	!Меры	General	Standard Dashboard	Count KPI	Card + Bar Chart
кол-во комун_24	!Меры	General	Standard Dashboard	Count KPI	Card + Bar Chart
Статус_к	!Меры	General	Standard Dashboard	Metric	Card
в комплект	!Меры	General	Standard Dashboard	Metric	Card
ГОТОВЫМ	!Меры	General	Standard Dashboard	Metric	Card
Всего задач	!Меры	General	Standard Dashboard	Metric	Card
Новые задачи за период	!Меры	General	Standard Dashboard	Metric	Card
Закрытые задачи за период	!Меры	General	Standard Dashboard	Metric	Card
Просроченные задачи	!Меры	General	Standard Dashboard	Metric	Card
Задачи в работе.	!Меры	General	Standard Dashboard	Metric	Card
Скорость закрытия	!Меры	General	Standard Dashboard	Metric	Card
Нагрузка в день	!Меры	General	Standard Dashboard	Metric	Card
Номер недели	!Меры	General	Standard Dashboard	Metric	Card
Название дня	!Меры	General	Standard Dashboard	Metric	Card
Эффективность менеджера	!Меры	General	Standard Dashboard	Metric	Card
% вып.плана	план продаж	General	Standard Dashboard	Metric	Card
%_РГ	план продаж	General	Standard Dashboard	Metric	Card
%_Эк	план продаж	General	Standard Dashboard	Metric	Card
