FromTable	FromColumn	ToTable	ToColumn	Cardinality	Active	CrossFilterDirection
orders_supplier_s	DateShipment	LocalDateTable_40c4fd74-6144-49d4-85b2-e9ebf7717bec	Date	Many:One	True	OneDirection
orders_supplier_s	DateReceipt	LocalDateTable_83ab9852-c5e5-4643-8876-5605ca0ffb5e	Date	Many:One	True	OneDirection
orders_supplier_s	Nomenclature_IDRRef	Nomenclature	IDRRef	Many:One	True	BothDirections
suppllier	IDRRef	Counteragents	IDRRef	Many:One	True	OneDirection
orders_supplier_s	Manager_IDRRef	Managers	IDRRef	Many:One	True	OneDirection
orders_supplier_s	Заказ\Год	stock_today_s	Заказ\Год	Many:Many	True	BothDirections
Marriage_s	Дата	Calendar	Date	Many:One	False	OneDirection
план продаж 25	Атрибут	LocalDateTable_44aaa76e-93e4-4f0b-81e6-b741c2f9b1da	Date	Many:One	True	OneDirection
план продаж 25	Менеджер	Managers	Менеджер	Many:One	True	OneDirection
задолженность	Дата заполнения	LocalDateTable_383ddf2b-399a-4aeb-9013-13454e7b3b27	Date	Many:One	True	OneDirection
задолженность	Дата счета	LocalDateTable_c6ee2619-82ae-4665-9e4a-0fbefa8f26a4	Date	Many:One	True	OneDirection
задолженность динамика	Дата заполнения	LocalDateTable_ce0133e8-159a-4ec3-9e3b-6cd63922749f	Date	Many:One	True	OneDirection
задолженность динамика	Дата счета	LocalDateTable_ced0f0cb-df5a-47cb-bda5-4bb6d3beb628	Date	Many:One	True	OneDirection
задолженность	Менеджер	Managers	Менеджер	Many:One	True	OneDirection
задолженность динамика	Менеджер	Managers	Менеджер	Many:One	True	OneDirection
df	создана	LocalDateTable_9725c965-31f2-41e8-b51b-84a26dd201ed	Date	Many:One	True	OneDirection
df	обновлено	LocalDateTable_2786abb0-bd87-4a02-98e2-7ffcfda39382	Date	Many:One	True	OneDirection
df	сдвинуто	LocalDateTable_6fcdbca3-9755-4401-a6f8-fc14250bbe17	Date	Many:One	True	OneDirection
df	Дата начала	LocalDateTable_a91e48d1-db29-453c-b330-477d17837971	Date	Many:One	True	OneDirection
df	Дата окончания	LocalDateTable_4a25db86-856b-43a6-b42a-162eb44905f0	Date	Many:One	True	OneDirection
df	Дата окончания командировки	LocalDateTable_b7e9ea3f-bc7b-4d4d-8ab9-01ed44779854	Date	Many:One	True	OneDirection
df	Дата согласования	LocalDateTable_06bfb750-84ad-4e43-8c6c-9846aeca4810	Date	Many:One	True	OneDirection
df	Дата последней активности	LocalDateTable_28b3286d-0416-4c5a-9701-44d4d70814a7	Date	Many:One	True	OneDirection
df	Date_upload	LocalDateTable_cdad7acd-1c69-4e17-a0bb-85f22f7d4e4d	Date	Many:One	True	OneDirection
df	Дата начала командировки	Calendar	Date	Many:One	True	OneDirection
df	ФИО	Managers	Менеджер	Many:One	True	OneDirection
Задачи	ответсвенный	Managers	Менеджер	Many:One	True	BothDirections
stock_today_s	Заказ\Год	purchase_goods_s	Заказ\Год	Many:Many	False	BothDirections
Sale	RefreshDate	LocalDateTable_5b6b3bd2-2f1a-429c-9642-810017de8a68	Date	Many:One	True	OneDirection
Категория клиентов	IDRRef	Counteragents	IDRRef	One:One	True	BothDirections
Статус клиента	DATE_UPLOAD	LocalDateTable_2f85b20f-3f88-4712-8041-953013c9bd35	Date	Many:One	True	OneDirection
комуникации	ID_COUNTERAGENT	Статус клиента	COUNTERAGENT_ID	Many:One	True	OneDirection
комуникации	DATE	Calendar	Date	Many:One	True	OneDirection
комуникации	UID_USER	Managers	IDRRef	Many:One	True	OneDirection
комуникации	UID_COUNTERAGENT	Counteragents	IDRRef	Many:One	True	OneDirection
Матрица	CODE	Nomenclature	IDRRef	Many:One	True	BothDirections
Матрица	GUID	Managers	IDRRef	Many:One	False	OneDirection
Задачи	closedDate	Calendar	Date	Many:One	False	OneDirection
Задачи	changedDate	LocalDateTable_31468528-b100-4a28-9bbd-d23c83c0efe5	Date	Many:One	True	OneDirection
Задачи	createdDate	Calendar	Date	Many:One	True	OneDirection
